"","DateTimeUTC","Lat","Long","lc"
"216",2014-08-31 21:36:04,32.42166901,-117.28192902,3
"217",2014-08-31 21:38:34,32.41979599,-117.28505707,3
"218",2014-08-31 21:41:21,32.42249298,-117.2842865,3
"219",2014-08-31 21:54:08,32.42241669,-117.28381348,3
"220",2014-08-31 21:58:29,32.42341614,-117.28432465,3
"221",2014-08-31 22:03:17,32.42367935,-117.27846527,3
"222",2014-08-31 22:08:44,32.42165756,-117.27455139,3
"223",2014-08-31 22:24:06,32.4136467,-117.27213287,3
"224",2014-08-31 22:32:41,32.4146347,-117.27464294,3
"225",2014-08-31 22:44:02,32.41150665,-117.27346802,3
"226",2014-08-31 23:07:51,32.42538071,-117.2808609,3
"227",2014-09-01 01:28:01,32.41389847,-117.30796814,3
"228",2014-09-01 01:35:39,32.41363525,-117.30521393,3
"229",2014-09-01 01:42:08,32.41520309,-117.30525208,3
"230",2014-09-01 02:00:09,32.41505432,-117.29956818,3
"231",2014-09-01 02:08:54,32.41917801,-117.29946136,3
"232",2014-09-01 02:18:32,32.41789246,-117.29878998,3
"233",2014-09-01 02:20:28,32.41818619,-117.2993927,3
"234",2014-09-01 02:24:54,32.41094208,-117.29178619,3
"235",2014-09-01 02:32:32,32.41275406,-117.29415894,3
"236",2014-09-01 03:34:52,32.41020966,-117.27806091,3
"237",2014-09-01 03:39:28,32.42026901,-117.28327942,3
"238",2014-09-01 03:49:24,32.41249084,-117.27097321,3
"239",2014-09-01 03:54:10,32.41166306,-117.26853943,3
"240",2014-09-01 04:22:20,32.40848923,-117.25791931,3
"241",2014-09-01 04:32:29,32.40724945,-117.259758,3
"242",2014-09-01 05:48:09,32.41701508,-117.24625397,3
"243",2014-09-01 07:08:16,32.41994858,-117.27857208,3
"244",2014-09-01 07:19:46,32.41896057,-117.2773819,3
"245",2014-09-01 07:38:00,32.41782379,-117.27780151,3
"246",2014-09-01 07:45:59,32.42181015,-117.27680206,3
"247",2014-09-01 07:56:41,32.42175293,-117.27935028,3
"248",2014-09-01 08:11:01,32.42422867,-117.27990723,3
"249",2014-09-01 08:16:31,32.42634583,-117.27967072,3
"250",2014-09-01 10:36:37,32.42896652,-117.27533722,3
"251",2014-09-01 11:15:26,32.43388748,-117.28591919,3
"252",2014-09-01 11:21:44,32.43484879,-117.28224182,3
"253",2014-09-01 11:37:10,32.44141388,-117.27891541,3
"254",2014-09-01 11:56:09,32.44229507,-117.27885437,3
"255",2014-09-01 12:13:49,32.4414711,-117.2719574,3
"256",2014-09-01 12:40:16,32.44402695,-117.27747345,3
"257",2014-09-01 12:50:01,32.44840622,-117.28270721,3
"258",2014-09-01 13:00:06,32.44948578,-117.28881836,3
"259",2014-09-01 13:08:39,32.44368362,-117.28945923,3
"260",2014-09-01 13:31:01,32.42882538,-117.29631042,3
"261",2014-09-01 13:38:30,32.43050003,-117.30487061,3
"262",2014-09-01 14:03:43,32.43443298,-117.32569122,3
"263",2014-09-01 14:22:52,32.42459106,-117.32479095,3
"264",2014-09-01 14:41:32,32.41842651,-117.32373047,3
"265",2014-09-01 14:44:53,32.41792297,-117.32131195,3
"266",2014-09-01 15:00:10,32.4120903,-117.3212204,3
"267",2014-09-01 15:02:59,32.41025543,-117.32021332,3
"268",2014-09-01 15:15:16,32.40971756,-117.31783295,3
"269",2014-09-01 16:03:53,32.41336823,-117.32601166,3
"270",2014-09-01 16:34:31,32.41255569,-117.33106232,3
"271",2014-09-01 17:24:45,32.43422318,-117.30512238,3
"272",2014-09-01 17:40:39,32.45032501,-117.30238342,3
"273",2014-09-01 17:49:17,32.45672226,-117.2979126,3
"274",2014-09-01 17:59:02,32.46466064,-117.29421234,3
"275",2014-09-01 18:13:47,32.47253036,-117.29150391,3
"276",2014-09-01 18:46:55,32.4823761,-117.27423859,3
"277",2014-09-01 19:42:10,32.48451233,-117.2977829,3
"278",2014-09-01 21:49:53,32.49678421,-117.33586884,3
"279",2014-09-01 22:06:57,32.51250839,-117.3132019,3
"280",2014-09-02 02:11:59,32.51644516,-117.30075073,3
"281",2014-09-02 03:03:34,32.51966476,-117.28996277,3
"282",2014-09-02 03:08:12,32.52143097,-117.28794861,3
"283",2014-09-02 03:12:49,32.51846313,-117.28226471,3
"284",2014-09-02 03:17:09,32.52140427,-117.28318024,3
"285",2014-09-02 03:27:00,32.52117538,-117.27752686,3
"286",2014-09-02 03:40:55,32.51966858,-117.26983643,3
"287",2014-09-02 04:17:31,32.52475357,-117.25527954,3
"288",2014-09-02 04:38:56,32.52098083,-117.24492645,3
"289",2014-09-02 07:40:27,32.57051849,-117.20391083,3
"290",2014-09-02 07:53:06,32.57696533,-117.20607758,3
"291",2014-09-02 07:59:56,32.58584213,-117.19845581,3
"292",2014-09-02 08:06:33,32.58161926,-117.20801544,3
"293",2014-09-02 08:28:24,32.5896225,-117.21343994,3
"294",2014-09-02 09:02:48,32.60253906,-117.22080994,3
"295",2014-09-02 09:22:45,32.60969543,-117.22570801,3
"296",2014-09-02 09:29:02,32.61249542,-117.22733307,3
"297",2014-09-02 09:34:27,32.61180115,-117.23168945,3
"299",2014-09-02 10:07:18,32.61973953,-117.24704742,3
"300",2014-09-02 10:50:24,32.63497543,-117.26389313,3
"301",2014-09-02 10:57:34,32.63267517,-117.26504517,3
"302",2014-09-02 11:32:46,32.64168549,-117.27481842,3
"303",2014-09-02 11:58:08,32.65834045,-117.28913879,3
"304",2014-09-02 12:12:40,32.65633392,-117.29389954,3
"305",2014-09-02 12:17:32,32.66548157,-117.28956604,3
"306",2014-09-02 12:27:47,32.66946793,-117.29112244,3
"307",2014-09-02 13:02:17,32.67942429,-117.30310822,3
"308",2014-09-02 13:07:05,32.68122482,-117.30059814,3
"309",2014-09-02 13:34:32,32.69147491,-117.29817963,3
"310",2014-09-02 13:46:56,32.6934967,-117.30273438,3
"311",2014-09-02 14:02:53,32.69805145,-117.30631256,3
"312",2014-09-02 15:41:15,32.72234344,-117.36422729,3
"313",2014-09-02 16:08:55,32.73173523,-117.35497284,3
"315",2014-09-02 18:23:54,32.71791077,-117.34238434,3
"316",2014-09-02 18:31:50,32.71159744,-117.34238434,3
"317",2014-09-02 18:48:57,32.69918442,-117.33994293,3
